company score1 score2 score3 score4 score5
Amazon 0.175 0.4227272727272728 0.06818181818181818 0.11093750000000001 0.1787878787878788
Elevance  0.3 0.2933333333333334 0.06000000000000001 0.22000000000000003
BankofAmerica  0.012500000000000004 -0.007999999999999997 0.10545454545454544 0.016666666666666673
CitigroupInc 0.022619047619047625 0.1328125 0.05000000000000001 0.09429752066115703 0.056212121212121206
CMSEnergy 0.425 0.425 0.45 0.07500000000000001 0.02500000000000001
