company score1 score2 score3 score4 score5
Elevance  0.3 0.2933333333333334 0.06000000000000001 0.22000000000000003
CitigroupInc 0.19183884297520662 -0.019999999999999997 0.05000000000000001 0.09429752066115703 0.056212121212121206
CMSEnergy 0.425 0.425 0.45 0.07500000000000001 0.02500000000000001
CVSHealth 0.23680555555555552 0.07285714285714287 0.21777777777777776 0.16999999999999998 0.19858585858585862
DukeEnergy 0.10666666666666666 0.47857142857142854 0.22916666666666666 0.012500000000000004 -0.008333333333333331
FidelityNationalInformationServices 0.05555555555555555 -0.11875000000000001 0.0 -0.11000000000000001 0.051428571428571435
GeneralMotors 0.16666666666666669 0.3 0.016666666666666673  0.02
ProgressiveCorp 0.0 0.16000000000000003 0.10545454545454544 0.15621212121212122 0.023409090909090904
TheHersheyCompany 0.0 0.022000000000000002 0.016666666666666673 0.2 0.07673611111111112
VertexPharmaceuticals  -0.02840909090909091 0.4766233766233766 0.05952380952380953 0.2622222222222222
